Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
University of Maryland,https://www.crunchbase.com/organization/university-of-maryland,6,2,"College Park, Maryland, United States",The University of Maryland is a public research university and is the flagship institution of the University System of Maryland.,University Program,,1,"3,401"
CSIRO,https://www.crunchbase.com/organization/csiro,7,,"Campbell, Victoria, Australia",Commonwealth Scientific and Industrial Research Organization is a federal government agency for scientific research.,Government Office,,1,"3,367"
South Carolina Research Authority,https://www.crunchbase.com/organization/south-carolina-research-authority,103,6,"Columbia, South Carolina, United States",SCRA helps to develop technology-based services.,"Government Office, Incubator",Grant,82,"3,331"
National Science Foundation,https://www.crunchbase.com/organization/national-science-foundation,"4,437",204,"Alexandria, Virginia, United States",America’s Seed Fund at the National Science Foundation awards nearly $200 million annually to startups and small businesses.,"Entrepreneurship Program, Government Office","Grant, Seed","4,258","3,265"
Singularity University,https://www.crunchbase.com/organization/singularity-university,4,1,"Moffett Field, California, United States","Singularity University is a benefit corporation that provides educational programs, innovative partnerships, and a startup accelerator.",University Program,,1,"3,232"
Western University,https://www.crunchbase.com/organization/university-of-western-ontario,2,,"London, Ontario, Canada","University of Western Ontario is a public research university locate din London, Ontario, Canada",University Program,,1,"3,219"
BDC Venture Capital,https://www.crunchbase.com/organization/bdc-venture-capital,551,127,"Calgary, Alberta, Canada","BDC Venture Capital works as a strategic partner that enables, encourages, and unlocks the underlying market potential of Canadian VC.","Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed, Venture",129,"3,165"
Caltech,https://www.crunchbase.com/organization/caltech,6,,"Pasadena, California, United States",Caltech is a science and engineering research and education institution.,University Program,,,"3,146"
The Johns Hopkins University,https://www.crunchbase.com/organization/johns-hopkins-university,1,1,"Baltimore, Maryland, United States",Johns Hopkins University is a research university that enrolls full and part-time students throughout nine academic divisions.,"Accelerator, University Program","Early Stage Venture, Seed",,"3,099"
Yale University,https://www.crunchbase.com/organization/yale-university,12,1,"New Haven, Connecticut, United States",Yale University is a research and education institution that prioritizes its students.,University Program,,1,"3,082"
Advanced Propulsion Centre UK,https://www.crunchbase.com/organization/advanced-propulsion-centre-uk,101,24,"Coventry, Coventry, United Kingdom",The Advanced Propulsion Centre was created by the Automotive Council to help companies turn low carbon technologies into products.,"Accelerator, Government Office",,94,"3,050"
European Union,https://www.crunchbase.com/organization/european-union,123,15,"London, England, United Kingdom","European Union provides access to information published by all EU institutions, agencies and bodies.",Government Office,,71,"3,034"
University of Washington,https://www.crunchbase.com/organization/university-of-washington,5,,"Seattle, Washington, United States","University of Washington is an educational institution that provides undergraduate, graduate, and research programs.",University Program,,,"2,947"
McGill University,https://www.crunchbase.com/organization/mcgill-university,5,,"Montréal, Ontario, Canada",McGill University is a public research university that offers 300 programs of study.,University Program,,1,"2,943"
Commerce Bank,https://www.crunchbase.com/organization/commerce-bank-3,2,,"Kansas City, Missouri, United States",Commerce Bank operates as a super-community bank offering sophisticated financial products.,Government Office,,,"2,921"
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,"1,798",163,"Sunnyvale, California, United States",Plug and Play is an innovation platform bringing together startups and large corporations.,"Accelerator, Co-Working Space, University Program, Venture Capital","Early Stage Venture, Seed",144,"2,916"
Science Center,https://www.crunchbase.com/organization/science-center,14,1,"Philadelphia, Pennsylvania, United States","Science Center is an accelerator hub for entrepreneurial activity, healthcare innovation, and economic growth.",University Program,,12,"2,832"
Harvard Innovation Labs,https://www.crunchbase.com/organization/harvard-ilab,108,,"Boston, Massachusetts, United States",An educational collaborative for all current Harvard students from any school to explore innovation and entrepreneurship at any stage.,University Program,,93,"2,812"
University of Nottingham,https://www.crunchbase.com/organization/university-of-nottingham,12,1,"Nottingham, Nottingham, United Kingdom",University College Nottingham was founded in 1877.,University Program,,2,"2,811"
University of Toronto,https://www.crunchbase.com/organization/university-of-toronto,15,1,"Toronto, Ontario, Canada","The University of Toronto is a public research university that offers programs in humanities, life Sciences, physical, and more.",University Program,,1,"2,743"
Emory University,https://www.crunchbase.com/organization/emory-university,2,1,"Atlanta, Georgia, United States",Emory University is an institute of higher learning and a private research university.,University Program,,,"2,742"
Northwestern University,https://www.crunchbase.com/organization/northwestern-university,11,4,"Evanston, Illinois, United States","Northwestern is one of the country's leading private research and teaching universities, located in Evanston, IL.",University Program,,1,"2,719"
Algerian Startup Fund,https://www.crunchbase.com/organization/algerian-startup-fund,91,,"Algiers, Alger, Algeria","Algerian Startup Fund is a sector agnostic, pre-seed and seed stage focused public investment fund.",Government Office,"Crowdfunding, Seed",90,"2,710"
Scottish Enterprise,https://www.crunchbase.com/organization/scottish-enterprise,268,26,"Glasgow, Glasgow City, United Kingdom","Scottish Enterprise is Scotland's main economic, enterprise, innovation and investment agency.",Government Office,"Grant, Seed",89,"2,707"
The University of Chicago Booth School of Business,https://www.crunchbase.com/organization/booth-school-of-business,7,1,"Chicago, Illinois, United States",The University of Chicago Booth School of Business provides full-time MBA courses.,University Program,,1,"2,701"
PennDOT,https://www.crunchbase.com/organization/penndot,15,5,"Harrisburg, Pennsylvania, United States","PennDOT oversees programs and policies affecting highways, urban and rural public transportation, airports, railroads, ports and waterways.",Government Office,,15,"2,689"
Northeastern University,https://www.crunchbase.com/organization/northeastern-university,3,,"Boston, Massachusetts, United States",Northeastern University is an experiential and research university that offers a comprehensive range of undergraduate and graduate programs.,"Accelerator, University Program, Venture Capital",Early Stage Venture,1,"2,644"
Bank Mandiri,https://www.crunchbase.com/organization/bank-mandiri,4,1,"Jakarta, Jakarta Raya, Indonesia","Bank Mandiri, headquartered in Jakarta, is the largest bank in Indonesia in term of assets, loans and deposits.",Government Office,,1,"2,603"
Allied Irish Banks,https://www.crunchbase.com/organization/allied-irish-banks,12,4,"Dublin, Dublin, Ireland",Allied Irish Bank serves the needs of medium to large-sized businesses focused on providing real value to every one of their customers.,"Government Office, Investment Bank",,7,"2,560"
U.S. Environmental Protection Agency,https://www.crunchbase.com/organization/u-s-environmental-protection-agency,152,2,"Washington, District of Columbia, United States",EPA is an independent executive agency aiming to protect human health and the environment.,Government Office,,143,"2,559"
Vanderbilt University,https://www.crunchbase.com/organization/vanderbilt-university,12,1,"Nashville, Tennessee, United States",Vanderbilt University is a private research university offering various learning programs.,University Program,,2,"2,540"
