Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
The Oaks of Granbury,https://www.crunchbase.com/organization/the-oaks-of-granbury,"Health Care, Home Health Care, Transportation","Granbury, Texas, United States","The Oaks of Granbury offers medication management, wellness checks, and home health care services.","3,201,856","Dallas/Fort Worth Metroplex, Southern US",Active,,,,,,,For Profit,https://theoaksofgranbury.com,"The Oaks of Granbury offers amenities and services such as maintenance-free living, transportation services, daily activities, housekeeping, laundry, and trash services. They provide assistance for bathing, dressing, and grooming,  health assessments, communication with physicians, and home health services. They also provide medication management, on-site staffing services, wellness checks, an emergency call box, and pull cord services.","Health Care, Transportation",,51-100,,,,,,,,,,,
Envyus Salon LLC,https://www.crunchbase.com/organization/envyus-salon-llc,"Fashion, Health Care, Lifestyle","Elkhorn, Nebraska, United States",Envyus Salon LLC,"3,201,865",Midwestern US,Closed,,,,,,none,For Profit,http://www.envyus-salon.com,"Looking to find a new nail tech or hair salon in town? Call Envyus Salon of Elkhorn. Where we offer lay down tanning beds, manicures, pedicures and high end hairstyles for all.","Clothing and Apparel, Community and Lifestyle, Design, Health Care",,1-10,,,,,,,,,,,
Special Systems,https://www.crunchbase.com/organization/special-systems,"Information Services, Information Technology, Software","Moorhead, Minnesota, United States",Special Systems distributes engineered systems for a vast range of industries.,"3,201,866","Great Lakes, Midwestern US",Active,1980-01-01,year,,,,,For Profit,http://www.ssi56560.com/home.html,,"Information Technology, Software",,,,,,,,,,,,,
Pinwheels,https://www.crunchbase.com/organization/pinwheels,"Association, Non Profit","San Francisco, California, United States",Pinwheels is a youth-focused transportation solution for busy families.,"3,201,867","San Francisco Bay Area, West Coast, Western US",Closed,,,,,,none,,https://ridepinwheels.com,,"Other, Social Impact",,,,,,,,,,,,,
CarbonCoaster,https://www.crunchbase.com/organization/carboncoaster,"Automotive, Handmade, Shipping","Appleton, Wisconsin, United States","Automotive inspired coasters made from carbon fiber, made in the USA.","3,201,877","Great Lakes, Midwestern US",Active,2016-06-01,day,,,,,For Profit,http://carboncoaster.com,,"Consumer Goods, Transportation",,,,,,,,,,,,,
p.h. balanced films,https://www.crunchbase.com/organization/p-h-balanced-films,"Association, Non Profit","Washington, District of Columbia, United States",P.h balanced films is a non-profit film and research organization that makes documentary films portraying consumers and their products.,"3,201,878","Washington DC Metro Area, Southern US",Active,2011-01-01,year,,,,,Non-profit,http://www.phbalancedfilms.org/,"P.h balanced films is a non-profit film and research organization that makes documentary films portraying the relationship between consumers and their products. The organization was founded in 2011 and is based in Washington, District of Columbia.","Other, Social Impact",,1-10,,,,,,,,,,,
Puerto Rican Community Center,https://www.crunchbase.com/organization/puerto-rican-community-center,"Education, Food and Beverage, Social","Trenton, New Jersey, United States",Puerto Rican Community Center provides education progaram and food program for families in need.,"3,201,880","East Coast, Northeastern US",Active,1975-01-01,year,,,,,Non-profit,https://www.prcc1975.org/,Puerto Rican Community Center provides education programs and food programs for families in need.,"Community and Lifestyle, Education, Food and Beverage",,,1,,,,,,USD,,Princeton Area Community Foundation,1,1
The Technology Toolbox,https://www.crunchbase.com/organization/the-technology-toolbox,"Consulting, Information Technology, Software","Chicago, Illinois, United States","Technology software, hardware, and best practices curated for small businesses","3,201,880","Greater Chicago Area, Great Lakes, Midwestern US",Active,2019-01-01,day,,,,,For Profit,https://www.technology-toolbox.com,"A wide array of technology and solutions for businesses of all sizes to optimize technology and leverage innovative systems to manage business operations, sales, finance, and more. Strategically partnered with 100s of different top tier technology and business services.","Information Technology, Professional Services, Software",1,11-50,,,,,,,,,,,
FilmyPakode,https://www.crunchbase.com/organization/filmypakode,Music,"Cincinnati, Ohio, United States",FilmyPakode is a Bollywood movie review website that provides critics and public views on movies and their music.,"3,201,882","Great Lakes, Midwestern US",Closed,2013-03-15,day,,,,none,For Profit,http://www.filmypakode.com,,"Media and Entertainment, Music and Audio",,1-10,,,,,,,,,,,
In-Site Landscape Architecture,https://www.crunchbase.com/organization/in-site-landscape-architecture,"Animation, Architecture, Construction, Real Estate","San Diego, California, United States","In-Site Landscape Architecture offers site analysis, 3D modeling, 3D animations, and landscape architecture construction services.","3,201,883","Greater San Diego Area, West Coast, Western US",Active,,,,,,,For Profit,https://www.insitelandarch.com/,,"Media and Entertainment, Real Estate, Video",,51-100,,,,,,,,,,,
Watchzone,https://www.crunchbase.com/organization/watchzone,,"Austin, Texas, United States",Watchzone,"3,201,888",Southern US,Active,,,,,,,For Profit,,,,,11-50,1,,,USD,,,USD,,Jump.net Ventures,1,1
Big Bears Recycling,https://www.crunchbase.com/organization/big-bears-recycling,"Environmental Consulting, Recycling, Service Industry","Knoxville, Tennessee, United States","Big Bears Recycling, Inc will be the largest and most profitable recycling operation in the entire world.","3,201,888",Southern US,Active,2009-10-12,day,,,,,For Profit,http://www.bigbearsrecycling.com,"Big Bears Recycling, Inc will be the largest and most profitable recycling operation in the entire world and our main product we recycle is scrap and waste tires.  We have a process that can and will break down rubber products to in-demand raw materials.  We accomplish this process without creating any kind of waste, residue, or emissions.  It is the ONLY process like it in the entire world.  We have a complete Executive Summary we are willing to share, and the business plan we do require a signed NCND on file before we extend this to you.","Other, Professional Services, Sustainability",,1-10,1,,,USD,,,USD,,,,
nMatrix Inc,https://www.crunchbase.com/organization/nmatrix-inc,"Document Management, Ediscovery, Electronics","New York, New York, United States",nMatrix is a leading provider of case management and document management products and services for electronic discovery,"3,201,895","Greater New York Area, East Coast, Northeastern US",Active,1994-01-01,year,2005-11-15,day,,,For Profit,,nMatrix is a leading provider of case management and document management products and services for electronic discovery and litigation support.,"Consumer Electronics, Hardware, Information Technology, Internet Services, Software",,,,M&A,,,,,,,,,
Portlight,https://www.crunchbase.com/organization/portlight,"Consumer Goods, E-Commerce, Retail","Winter Park, Florida, United States","Portlight is an online retailer offering its customers a wide assortment of home, toy, baby, and outdoor products.","3,201,899","East Coast, Southern US",Active,2010-01-01,year,,,,,For Profit,http://www.goportlight.com,,"Commerce and Shopping, Consumer Goods",,11-50,,,,,,,,,,,
Stork,https://www.crunchbase.com/organization/stork-3,"Advice, Delivery, Information Technology, Messaging, Parenting","Sacramento, California, United States",Instant Help For New Parents via SMS,"3,201,901","West Coast, Western US",Closed,2015-06-01,month,,,,none,For Profit,http://www.askstork.com,,"Administrative Services, Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications",,1001-5000,,,,,,,,,,,
Taksitus,https://www.crunchbase.com/organization/taksitus,Service Industry,"Chicago, Illinois, United States","Taksitus provides storage, package handling, customs clearance and shipment services to America.","3,201,902","Greater Chicago Area, Great Lakes, Midwestern US",Active,2012-02-01,day,,,,,For Profit,http://taksitus.com,,Other,,11-50,,,,,,,,,,,
Paige Prather Smiles,https://www.crunchbase.com/organization/paige-prather-smiles,"Cosmetics, Dental, Health Care, Therapeutics","Franklin, Tennessee, United States","Paige Prather Smiles is a dental office that provides cosmetic dentistry, dental implant, and orthodontic services.","3,201,904",Southern US,Active,,,,,,,For Profit,https://www.paigeprathersmiles.com,"Paige Prather Smiles provides dental care services. They also provide functional orthodontics, myofuntional therapy, airway-centered dentistry, orofacial myology therapy, preventive dentistry, restorative dentistry, dental implants, cosmetic dentistry, orthodontics, sedation dentistry, laser dentistry, and emergency dentistry, soft-tissue laser dentistry, porcelain veneers, and teeth whitening services.","Consumer Goods, Health Care",,1-10,,,,,,,,,,,
Business Alumni Network,https://www.crunchbase.com/organization/business-alumni-network,,"Phoenix, Arizona, United States",A Premier Business Network and Collaboration Platform,"3,201,908","Greater Phoenix Area, Western US",Closed,2015-01-09,day,,,,none,For Profit,http://www.businessalumninetwork.eu.pn,,,,,,,,,,,,,,,
